Number of Reads,74476
Reads With Valid Barcodes,0.00291369
Sequencing Saturation,0
Q30 Bases in CB+UMI,0.901962
Q30 Bases in RNA read,0.697681
Reads Mapped to Genome: Unique+Multiple,0.553628
Reads Mapped to Genome: Unique,0.512058
Reads Mapped to Gene: Unique+Multiple Gene,NoMulti
Reads Mapped to Gene: Unique Gene,0.000107417
Estimated Number of Cells,6
Unique Reads in Cells Mapped to Gene,8
Fraction of Unique Reads in Cells,1
Mean Reads per Cell,1
Median Reads per Cell,1
UMIs in Cells,8
Mean UMI per Cell,1
Median UMI per Cell,1
Mean Gene per Cell,1
Median Gene per Cell,1
Total Gene Detected,7
