Number of Reads,76703
Reads With Valid Barcodes,0.00278998
Sequencing Saturation,0
Q30 Bases in CB+UMI,0.83318
Q30 Bases in RNA read,0.820769
Reads Mapped to Genome: Unique+Multiple,0.627707
Reads Mapped to Genome: Unique,0.59368
Reads Mapped to Gene: Unique+Multiple Gene,NoMulti
Reads Mapped to Gene: Unique Gene,0.00155144
Estimated Number of Cells,20
Unique Reads in Cells Mapped to Gene,119
Fraction of Unique Reads in Cells,1
Mean Reads per Cell,5
Median Reads per Cell,6
UMIs in Cells,119
Mean UMI per Cell,5
Median UMI per Cell,6
Mean Gene per Cell,5
Median Gene per Cell,6
Total Gene Detected,86
