Number of Reads,89189
Reads With Valid Barcodes,0.000583032
Sequencing Saturation,0
Q30 Bases in CB+UMI,0.975501
Q30 Bases in RNA read,0.937484
Reads Mapped to Genome: Unique+Multiple,0.621478
Reads Mapped to Genome: Unique,0.584478
Reads Mapped to GeneFull: Unique+Multiple GeneFull,NoMulti
Reads Mapped to GeneFull: Unique GeneFull,0.000336364
Estimated Number of Cells,15
Unique Reads in Cells Mapped to GeneFull,30
Fraction of Unique Reads in Cells,1
Mean Reads per Cell,2
Median Reads per Cell,2
UMIs in Cells,30
Mean UMI per Cell,2
Median UMI per Cell,2
Mean GeneFull per Cell,2
Median GeneFull per Cell,2
Total GeneFull Detected,30
